entry_id,proficiency,skill_area,content,analysis.total_words,analysis.unique_words,analysis.lexical_density,analysis.avg_word_length,analysis.sentence_count,classification.main_category,classification.skill_focus,classification.complexity,metadata.created_at,metadata.language,metadata.version,metadata.source
A1_013,A1,social networks,Social networks are websites where people connect. They share photos and messages. People can like or comment on posts. It is easy to find friends and chat with them. Many people use social networks every day. It is a fun way to stay in touch with others.,47,38,0.8085106382978723,4.446808510638298,6,modern,speaking,0.0,2025-05-05 10:47:53,English,3.0,GPT-3.5-turbo
A1_014,A1,online learning,Online learning is when you use the internet to study. You can watch videos and do quizzes on the computer. It is easy to learn new things from home. I like online learning because I can go at my own pace.,41,33,0.8048780487804879,4.024390243902439,4,modern,writing,0.0,2025-05-05 10:47:54,English,3.0,GPT-3.5-turbo
A1_015,A1,remote working,Remote working is when you work from home. You use a computer to do your job. You don't go to an office. It is convenient and comfortable. You can stay at home and work. It is good for some people.,40,32,0.8,3.95,6,modern,reading,0.0,2025-05-05 10:47:57,English,3.0,GPT-3.5-turbo
A1_016,A1,digital entertainment,Digital entertainment is fun. People watch movies online. They play games on their phones. They listen to music on streaming apps. It is easy to access. Many enjoy it. It is popular.,32,26,0.8125,4.71875,7,modern,listening,0.0,2025-05-05 10:47:59,English,3.0,GPT-3.5-turbo
A1_017,A1,smart homes,"Smart homes are houses that can do things automatically. They can turn on lights, adjust the temperature, and play music with just a voice command. Smart homes can also help with security by sending alerts to your phone if something is wrong. Many people like smart homes because they are convenient and make life easier.",55,45,0.8181818181818182,4.8545454545454545,4,modern,speaking,0.0,2025-05-05 10:48:01,English,3.0,GPT-3.5-turbo
A1_018,A1,virtual meetings,Virtual meetings are when people talk on the computer. They can see each other on the screen. They use a camera and microphone to talk. People can have meetings from anywhere in the world. It is easy and convenient.,39,31,0.7948717948717948,4.538461538461538,5,modern,writing,0.0,2025-05-05 10:48:03,English,3.0,GPT-3.5-turbo
A1_019,A1,business emails,"Business emails are important for work. We use them to communicate with colleagues and clients. In emails, we can ask questions, share information, and make plans. It is good to write clear and polite emails. Make sure to check for spelling and grammar before sending.",45,37,0.8222222222222222,4.977777777777778,5,professional,reading,0.0,2025-05-05 10:48:05,English,3.0,GPT-3.5-turbo
A1_020,A1,presentations,Presentations are when we talk about something to a group. We use slides to help explain. It is important to speak clearly and not too fast. We should also make eye contact with the audience. Practice beforehand to feel more comfortable. It is a good way to share information with others.,51,41,0.803921568627451,4.666666666666667,6,professional,listening,0.0,2025-05-05 10:48:07,English,3.0,GPT-3.5-turbo
A1_021,A1,negotiations,"Negotiations are when two people talk to each other to make a deal. They discuss things and try to find a solution that makes both sides happy. It is important to listen carefully and be respectful during negotiations. Sometimes, compromises need to be made to reach an agreement.",48,40,0.8333333333333334,4.854166666666667,4,professional,speaking,0.0,2025-05-05 10:48:09,English,3.0,GPT-3.5-turbo
A1_022,A1,customer service,Customer service is important. The employees help customers. They answer questions and solve problems. They are friendly and polite. Customers are happy when they receive good service. Good customer service makes people want to come back.,36,29,0.8055555555555556,5.638888888888889,6,professional,writing,0.0,2025-05-05 10:48:11,English,3.0,GPT-3.5-turbo
A1_023,A1,team collaboration,"Team collaboration is when people work together to reach a goal. They talk, listen, and help each other. Everyone has a job to do. Teamwork makes the work easier and better. It is important to communicate and share ideas with your team. Good teamwork leads to success.",47,38,0.8085106382978723,4.723404255319149,6,professional,reading,0.0,2025-05-05 10:48:13,English,3.0,GPT-3.5-turbo
A1_024,A1,problem solving,"Problem solving is important. First, identify the problem. Then, think of solutions. Try different ideas. See what works. Choose the best solution. It's good to solve problems.",27,26,0.9629629629629629,5.555555555555555,7,professional,listening,0.0,2025-05-05 10:48:15,English,3.0,GPT-3.5-turbo
A1_025,A1,cultural exchange,"Cultural exchange is when people share their traditions and customs with each other. They learn about different ways of life and celebrate diversity. People from different countries can exchange music, food, and stories to learn from each other. It helps us understand and appreciate other cultures. Cultural exchange can happen through travel, festivals, and online communication.",56,42,0.75,5.821428571428571,5,global,speaking,0.0,2025-05-05 10:48:17,English,3.0,GPT-3.5-turbo
A1_026,A1,global issues,"Global issues are big problems that affect the whole world. Some global issues are climate change, poverty, and hunger. People are working together to find solutions to these problems. It is important for everyone to help make the world a better place.",42,35,0.8333333333333334,5.023809523809524,4,global,writing,0.0,2025-05-05 10:48:19,English,3.0,GPT-3.5-turbo
A1_027,A1,international news,"In international news, countries talk to each other. Leaders meet and discuss important things. Sometimes there are disagreements. People in different places pay attention. They want to know what is happening around the world. News helps them understand.",38,36,0.9473684210526315,5.7105263157894735,6,global,reading,0.0,2025-05-05 10:48:21,English,3.0,GPT-3.5-turbo
A1_028,A1,world cuisine,"People all over the world eat different food. In Italy, they like pasta and pizza. In Japan, they eat sushi and ramen. In Mexico, they enjoy tacos and burritos. Each country has its own special dishes that are delicious. I like trying new foods from different places.",47,38,0.8085106382978723,4.702127659574468,6,global,listening,0.0,2025-05-05 10:48:23,English,3.0,GPT-3.5-turbo
A1_029,A1,foreign customs,"In other countries, people have different customs. For example, in Japan, it is polite to bow when greeting someone. In India, people often eat with their hands instead of using utensils. These customs may seem strange to us, but they are normal in other parts of the world.",48,41,0.8541666666666666,4.729166666666667,4,global,speaking,0.0,2025-05-05 10:48:25,English,3.0,GPT-3.5-turbo
A1_030,A1,cross-cultural communication,Cross-cultural communication is when people from different countries talk to each other. It can be hard because of language and customs. It's important to listen and ask questions to understand each other. Smiling and being polite helps too. We can learn a lot from each other when we communicate well.,50,39,0.78,5.06,5,global,writing,0.0,2025-05-05 10:48:27,English,3.0,GPT-3.5-turbo
A1_031,A1,introducing yourself,Hello! My name is Lisa. I am from Canada. I like to read books and watch movies. I have a cat. My favorite color is blue. Nice to meet you!,30,25,0.8333333333333334,3.6666666666666665,7,basic,reading,0.0,2025-05-05 10:48:29,English,3.0,GPT-3.5-turbo
A1_032,A1,asking directions,"If you are lost, you can ask someone for directions. Just say, ""Excuse me, can you help me? Where is the library?"" They will tell you where to go. Thank the person and walk that way. You will find the library soon.",42,33,0.7857142857142857,4.119047619047619,6,basic,listening,0.0,2025-05-05 10:48:31,English,3.0,GPT-3.5-turbo
A1_033,A1,making appointments,"To make an appointment, first, call the doctor's office. Ask for a time that works for you. Write down the date and time. Remember to arrive on time for your appointment. It is important to be punctual.",37,31,0.8378378378378378,4.486486486486487,5,basic,speaking,0.0,2025-05-05 10:48:33,English,3.0,GPT-3.5-turbo
A1_034,A1,phone calls,"I make phone calls to talk to my friends and family. I pick up the phone, dial the number, and wait for them to answer. I say hello and ask how they are doing. We talk about our day and make plans to meet up. I like talking on the phone.",51,38,0.7450980392156863,3.6666666666666665,5,basic,writing,0.0,2025-05-05 10:48:35,English,3.0,GPT-3.5-turbo
A1_035,A1,ordering food,"I go to a restaurant. I say, ""I want a pizza, please."" The waiter writes it down. I wait for my food. The waiter brings me the pizza. I say, ""Thank you."" I eat the pizza. It is tasty. I am happy.",42,29,0.6904761904761905,3.6666666666666665,9,basic,reading,0.0,2025-05-05 10:48:37,English,3.0,GPT-3.5-turbo
A1_036,A1,shopping conversations,"When you go shopping, you can ask for help. You can say ""Excuse me, where is the bread?"" The shop assistant will help you find it. You can also say ""How much is this shirt?"" Make sure to say ""thank you"" when you are finished. Shopping conversations are easy and helpful.",51,38,0.7450980392156863,4.313725490196078,6,basic,listening,0.0,2025-05-05 10:48:39,English,3.0,GPT-3.5-turbo
A1_037,A1,storytelling,"People like storytelling. Storytelling is telling stories. Stories can be about anything. Sometimes stories are true, sometimes they are not. People listen to stories to have fun. Stories can make people happy or sad. It is fun to listen to stories.",41,27,0.6585365853658537,5.097560975609756,7,creative,speaking,0.0,2025-05-05 10:48:42,English,3.0,GPT-3.5-turbo
A1_038,A1,describing pictures,"In the picture, there is a cat. The cat is black and white. The cat is sitting on a chair. The chair is brown. The cat looks happy.",28,18,0.6428571428571429,3.7142857142857144,5,creative,writing,0.0,2025-05-05 10:48:43,English,3.0,GPT-3.5-turbo
A1_039,A1,expressing emotions,People show emotions in different ways. They smile when they are happy. They cry when they are sad. Some people yell when they are angry. It is important to express our feelings so others can understand us. Remember to be kind to others even when you are feeling strong emotions.,50,36,0.72,4.6,6,creative,reading,0.0,2025-05-05 10:48:46,English,3.0,GPT-3.5-turbo
A1_040,A1,giving opinions,I think pizza is delicious. I like pizza with cheese. My friend doesn't like pizza. She prefers salad. Everyone has different opinions about food. It's okay to like different things.,30,25,0.8333333333333334,5.1,6,creative,listening,0.0,2025-05-05 10:48:47,English,3.0,GPT-3.5-turbo
A1_041,A1,making comparisons,"When we compare things, we look at how they are the same or different. For example, apples and oranges are fruits, but they taste different. Some people are tall, while others are short. It is important to compare things to understand them better. Comparisons help us see what is special about each thing.",53,44,0.8301886792452831,4.773584905660377,5,creative,speaking,0.0,2025-05-05 10:48:50,English,3.0,GPT-3.5-turbo
A1_042,A1,creative writing,Creative writing is when you make up stories or poems. You use your imagination to write something new. You can write about anything you want. It is fun to be creative and write your own stories. You can write in a notebook or on a computer. Just let your ideas flow and write them down.,55,38,0.6909090909090909,4.236363636363636,6,creative,writing,0.0,2025-05-05 10:48:52,English,3.0,GPT-3.5-turbo
A1_043,A1,social networks,"Social networks are websites where people can connect with friends and share photos and messages. Many people use social networks every day. They can like posts and comment on them. Some popular social networks are Facebook, Instagram, and Twitter. People can also follow famous people and see what they are doing. Social networks are a fun way to stay in touch with others.",63,43,0.6825396825396826,4.9523809523809526,6,modern,reading,0.0,2025-05-05 10:48:54,English,3.0,GPT-3.5-turbo
A1_044,A1,online learning,Online learning is when you use the computer to study. You can watch videos and do quizzes. It is easy to learn from home. You need a computer and internet. You can learn at your own pace. Online learning is good for busy people.,44,32,0.7272727272727273,4.2272727272727275,6,modern,listening,0.0,2025-05-05 10:48:56,English,3.0,GPT-3.5-turbo
A1_045,A1,remote working,Remote working is when you work from home. You use a computer and internet. You do not go to an office. You can work in your pajamas. It is easy and convenient. Many people like remote working.,37,30,0.8108108108108109,4.243243243243243,6,modern,speaking,0.0,2025-05-05 10:48:58,English,3.0,GPT-3.5-turbo
A1_046,A1,digital entertainment,Digital entertainment is fun. I watch movies on my computer. I play games on my phone. I listen to music online. I like to relax with digital entertainment. It is easy and enjoyable.,33,25,0.7575757575757576,4.545454545454546,6,modern,writing,0.0,2025-05-05 10:49:00,English,3.0,GPT-3.5-turbo
A1_047,A1,smart homes,Smart homes have special technology. Lights turn on and off by themselves. You can control the temperature with your phone. The TV can play music with a voice command. It is easy to make your home smart.,37,33,0.8918918918918919,4.513513513513513,5,modern,reading,0.0,2025-05-05 10:49:02,English,3.0,GPT-3.5-turbo
A1_048,A1,virtual meetings,"Virtual meetings are online. People talk on the computer. They see each other on the screen. They discuss work or ideas. It is like a real meeting, but not in person. You can join from anywhere. It is easy and convenient.",41,36,0.8780487804878049,4.414634146341464,7,modern,listening,0.0,2025-05-05 10:49:05,English,3.0,GPT-3.5-turbo
A1_049,A1,business emails,"In business, we send emails to talk with coworkers and clients. Emails are important to share information and ask questions. We write emails in a clear and polite way. We use email to schedule meetings, give updates, and discuss projects. It is good to check emails regularly for important messages.",50,37,0.74,5.0,5,professional,speaking,0.0,2025-05-05 10:49:07,English,3.0,GPT-3.5-turbo
A1_050,A1,presentations,"In presentations, we talk about our topic. We use slides to show information. We speak clearly and look at the audience. We can ask questions at the end. It is important to practice before the presentation. I like presentations because I can share my ideas.",45,36,0.8,4.733333333333333,6,professional,writing,0.0,2025-05-05 10:49:09,English,3.0,GPT-3.5-turbo
A1_051,A1,negotiations,Negotiations are talks to reach an agreement. People discuss to find a solution. They listen and talk to each other. Each side explains their needs. They try to find a compromise. It is important to be polite and patient during negotiations.,41,32,0.7804878048780488,4.902439024390244,6,professional,reading,0.0,2025-05-05 10:49:12,English,3.0,GPT-3.5-turbo
A1_052,A1,customer service,Customer service is important. Employees help customers. They answer questions. They solve problems. They are friendly and polite. Customers feel happy. They come back to the store. Good customer service is key.,32,26,0.8125,5.625,8,professional,listening,0.0,2025-05-05 10:49:14,English,3.0,GPT-3.5-turbo
A1_053,A1,team collaboration,"Team collaboration is when people work together on a project. Each person helps with a different part. They talk, share ideas, and listen to each other. Together, they finish the project faster and better. It is important to be a good team player and communicate well.",46,37,0.8043478260869565,4.8478260869565215,5,professional,speaking,0.0,2025-05-05 10:49:16,English,3.0,GPT-3.5-turbo
A1_054,A1,problem solving,"When I have a problem, I think about ways to fix it. I can ask for help from a friend or teacher. I try different things until I find a solution. It is important to not give up when things are hard. Problem solving helps me learn new things.",49,40,0.8163265306122449,3.938775510204082,5,professional,writing,0.0,2025-05-05 10:49:18,English,3.0,GPT-3.5-turbo
A1_055,A1,cultural exchange,"Cultural exchange is when people from different places share their traditions and customs. They learn about each other's way of life and celebrate their differences. It helps us understand and respect other cultures. Cultural exchange can happen through music, food, art, and language. It is a fun way to make new friends and learn new things.",56,44,0.7857142857142857,5.142857142857143,5,global,reading,0.0,2025-05-05 10:49:20,English,3.0,GPT-3.5-turbo
A1_056,A1,global issues,"Global issues are big problems that affect people all around the world. Some examples are pollution, poverty, and climate change. Many countries work together to try to solve these problems. It is important for everyone to help make the world a better place for future generations.",46,41,0.8913043478260869,5.130434782608695,4,global,listening,0.0,2025-05-05 10:49:23,English,3.0,GPT-3.5-turbo
A1_057,A1,international news,"In international news, countries talk to each other. Leaders meet to solve problems. People in different places share information. News on TV and internet tells us what's happening far away. It helps us understand the world.",36,33,0.9166666666666666,5.25,5,global,speaking,0.0,2025-05-05 10:49:26,English,3.0,GPT-3.5-turbo
A1_058,A1,world cuisine,"World cuisine is delicious. There are many types of food. In Italy, people eat pizza and pasta. In Japan, people eat sushi and ramen. In Mexico, people eat tacos and burritos. Each country has its own special dishes. I like trying new foods from different places.",46,38,0.8260869565217391,4.739130434782608,7,global,writing,0.0,2025-05-05 10:49:28,English,3.0,GPT-3.5-turbo
A1_059,A1,foreign customs,"In some countries, people greet each other with a bow instead of a handshake. In Japan, it is common to take off your shoes before entering someone's home. In China, it is polite to slurp your noodles when eating. Different cultures have different customs that may seem strange to others.",50,41,0.82,4.78,4,global,reading,0.0,2025-05-05 10:49:30,English,3.0,GPT-3.5-turbo
A1_060,A1,cross-cultural communication,Cross-cultural communication is when people from different countries talk to each other. It can be hard because of language and customs. We need to listen and ask questions to understand each other. It is important to be respectful and open-minded. We can learn new things and make friends from other cultures.,51,37,0.7254901960784313,5.098039215686274,5,global,listening,0.0,2025-05-05 10:49:32,English,3.0,GPT-3.5-turbo
A1_061,A1,introducing yourself,"Hello, my name is Anna. I am from Spain. I like to read and watch movies. I have a cat. I am a student. Nice to meet you.",28,22,0.7857142857142857,3.357142857142857,6,basic,speaking,0.0,2025-05-05 10:49:34,English,3.0,GPT-3.5-turbo
A1_062,A1,asking directions,"When you are lost, you can ask someone for directions. You can say, ""Excuse me, where is the park?"" The person may point or tell you where to go. Say thank you after they help you. It is important to be polite when asking for help.",46,35,0.7608695652173914,4.043478260869565,5,basic,writing,0.0,2025-05-05 10:49:36,English,3.0,GPT-3.5-turbo
A1_063,A1,making appointments,"To make an appointment, call or go to the place you want to visit. Ask for a time that works for you. Write down the date and time. Remember to show up on time for your appointment. It is important to be punctual.",43,35,0.813953488372093,3.9767441860465116,5,basic,reading,0.0,2025-05-05 10:49:38,English,3.0,GPT-3.5-turbo
A1_064,A1,phone calls,I call my friend on the phone. I say hello. She says hello back. We talk for a while. I tell her about my day. She tells me about her day. We say goodbye. I hang up the phone.,39,27,0.6923076923076923,3.5128205128205128,8,basic,listening,0.0,2025-05-05 10:49:40,English,3.0,GPT-3.5-turbo
A1_065,A1,ordering food,I order food online. I click on what I want. I pay with my card. I wait for my food to arrive. I eat and enjoy my meal.,28,20,0.7142857142857143,3.2857142857142856,5,basic,speaking,0.0,2025-05-05 10:49:42,English,3.0,GPT-3.5-turbo
A1_066,A1,shopping conversations,"When you go shopping, you can talk to the cashier. You can ask for the price of things. You can say ""thank you"" when you pay. The cashier might ask if you want a bag. You can say ""yes"" or ""no"". It's polite to smile and be friendly.",48,33,0.6875,3.8333333333333335,6,basic,writing,0.0,2025-05-05 10:49:44,English,3.0,GPT-3.5-turbo
A1_067,A1,storytelling,"People tell stories. Stories have characters and a plot. They can be funny or sad. Storytelling is fun. People like to listen to stories. Some stories are true, some are make-believe. Stories can teach us things. We can tell stories too.",41,30,0.7317073170731707,4.804878048780488,8,creative,reading,0.0,2025-05-05 10:49:46,English,3.0,GPT-3.5-turbo
A1_068,A1,describing pictures,This is a picture. The picture shows a dog. The dog is brown. The dog is happy. There is grass in the background. The sun is shining. I like this picture.,31,19,0.6129032258064516,4.0,7,creative,listening,0.0,2025-05-05 10:49:47,English,3.0,GPT-3.5-turbo
A1_069,A1,expressing emotions,People express emotions in many ways. They smile when they are happy. They cry when they are sad. They shout when they are angry. It is important to talk about feelings. It helps people feel better. It is okay to show how you feel.,44,30,0.6818181818181818,4.2727272727272725,7,creative,speaking,0.0,2025-05-05 10:49:49,English,3.0,GPT-3.5-turbo
A1_070,A1,giving opinions,I think pizza is delicious. I like it with cheese and pepperoni. My friend thinks pizza is gross. She prefers salad. It's okay to have different opinions.,27,24,0.8888888888888888,4.7407407407407405,5,creative,writing,0.0,2025-05-05 10:49:51,English,3.0,GPT-3.5-turbo
A1_071,A1,making comparisons,"When we compare things, we look at what is the same and what is different. For example, I can compare two fruits by their color, size, or taste. Comparisons help us understand things better. I like to compare my toys to see which one is my favorite. It is fun to make comparisons!",53,42,0.7924528301886793,4.30188679245283,5,creative,reading,0.0,2025-05-05 10:49:53,English,3.0,GPT-3.5-turbo
A1_072,A1,creative writing,Creative writing is when you use your imagination to make stories. You can write about anything you want. You can make characters and give them adventures. It is fun to create your own worlds with words. Just start writing and see where your ideas take you!,46,35,0.7608695652173914,4.608695652173913,5,creative,listening,0.0,2025-05-05 10:49:55,English,3.0,GPT-3.5-turbo
A1_073,A1,social networks,"Social networks are websites where people can talk with friends and share photos. Many people use social networks every day. They can like and comment on posts. Some popular social networks are Facebook, Instagram, and Twitter. People can also join groups and follow pages they like. Social networks are a fun way to stay connected with others.",57,40,0.7017543859649122,5.052631578947368,6,modern,speaking,0.0,2025-05-05 10:49:57,English,3.0,GPT-3.5-turbo
A1_074,A1,online learning,Online learning is when you study on the computer. You can watch videos and do activities. It is easy and convenient. You can learn at your own pace. It is good for busy people. I like online learning.,38,30,0.7894736842105263,4.315789473684211,6,modern,writing,0.0,2025-05-05 10:49:59,English,3.0,GPT-3.5-turbo
A1_075,A1,remote working,Remote working is when people work from home. They use the computer to do their job. Many companies now let employees work remotely. It is convenient and saves time. People can work in their pajamas. Remote working is becoming more popular.,41,33,0.8048780487804879,4.878048780487805,6,modern,reading,0.0,2025-05-05 10:50:01,English,3.0,GPT-3.5-turbo
A1_076,A1,digital entertainment,Digital entertainment is fun. People watch movies online. They play games on their phones. They listen to music on the computer. Digital entertainment is popular. It is easy to access. People enjoy it a lot.,35,26,0.7428571428571429,4.942857142857143,7,modern,listening,0.0,2025-05-05 10:50:03,English,3.0,GPT-3.5-turbo
A1_077,A1,smart homes,Smart homes have many devices. They can turn on lights and control temperature. You can use your phone to change things. It is very convenient. Smart homes make life easier.,30,27,0.9,4.8,5,modern,speaking,0.0,2025-05-05 10:50:05,English,3.0,GPT-3.5-turbo
A1_078,A1,virtual meetings,Virtual meetings are online meetings. People talk on the computer. They can see and hear each other. It is like being in the same room. People can work together even if they are far away. It is easy and convenient.,40,32,0.8,4.375,6,modern,writing,0.0,2025-05-05 10:50:07,English,3.0,GPT-3.5-turbo
A1_079,A1,business emails,"Business emails are important for work. They are like letters but sent online. You write them to talk about work things. In emails, you can ask questions, give information, or make plans. It is good to be polite and clear in your emails. Remember to check for mistakes before sending them.",51,45,0.8823529411764706,4.686274509803922,6,professional,reading,0.0,2025-05-05 10:50:09,English,3.0,GPT-3.5-turbo
A1_080,A1,presentations,Presentations are when you talk in front of people. You can use slides to show information. Speak clearly and look at the audience. It's important to be prepared and practice beforehand. Remember to breathe and stay calm. Good luck!,39,34,0.8717948717948718,4.9743589743589745,6,professional,listening,0.0,2025-05-05 10:50:11,English,3.0,GPT-3.5-turbo
A1_081,A1,negotiations,Negotiations happen when people talk to find agreement. Both sides share ideas and try to reach a solution. They may make offers and counteroffers. It is important to listen and speak clearly. Good negotiation skills can help solve problems and build relationships.,42,37,0.8809523809523809,5.333333333333333,5,professional,speaking,0.0,2025-05-05 10:50:13,English,3.0,GPT-3.5-turbo
A1_082,A1,customer service,"Good customer service is important. When you have a problem, customer service can help you. They listen to you and try to solve the issue. They are friendly and polite. It is their job to make you happy. You should always be nice to customer service workers.",47,34,0.723404255319149,4.51063829787234,6,professional,writing,0.0,2025-05-05 10:50:15,English,3.0,GPT-3.5-turbo
A1_083,A1,team collaboration,Team collaboration is important. We work together. We help each other. We share ideas. We listen to each other. We finish tasks together. We are a team. Teamwork is good.,30,21,0.7,4.7,8,professional,reading,0.0,2025-05-05 10:50:16,English,3.0,GPT-3.5-turbo
A1_084,A1,problem solving,"Problem solving is important. First, identify the problem. Next, think of solutions. Finally, choose the best solution. For example, if you can't find your keys, check under the bed or in your bag. If you still can't find them, ask for help. Remember, problems can be solved with patience and creativity.",51,43,0.8431372549019608,4.980392156862745,7,professional,listening,0.0,2025-05-05 10:50:18,English,3.0,GPT-3.5-turbo
A1_085,A1,cultural exchange,"Cultural exchange is when people share their traditions and customs with others. It helps us learn about different ways of life and make new friends. People from different countries can exchange food, music, and stories. This helps us understand and respect each other's cultures. Cultural exchange is fun and exciting!",50,38,0.76,5.4,5,global,speaking,0.0,2025-05-05 10:50:20,English,3.0,GPT-3.5-turbo
A1_086,A1,global issues,Global issues are important. Pollution is a big problem. People throw trash on the ground. This hurts the Earth. Animals get sick. We must help clean up. Recycling is good. We can save the planet. Let's work together.,38,34,0.8947368421052632,4.7368421052631575,9,global,writing,0.0,2025-05-05 10:50:22,English,3.0,GPT-3.5-turbo
A1_087,A1,international news,"In international news, leaders meet to talk. People in many countries watch the news. Some countries have problems. Others want to help. It is important to know what is happening around the world.",33,27,0.8181818181818182,4.96969696969697,5,global,reading,0.0,2025-05-05 10:50:24,English,3.0,GPT-3.5-turbo
A1_088,A1,world cuisine,"Different countries have different types of food. In Italy, they eat pasta and pizza. In Japan, they eat sushi and ramen. In Mexico, they eat tacos and burritos. Each country has its own special dishes. People all over the world enjoy trying new foods from different places.",47,37,0.7872340425531915,4.851063829787234,6,global,listening,0.0,2025-05-05 10:50:26,English,3.0,GPT-3.5-turbo
A1_089,A1,foreign customs,"In some countries, people greet each other by kissing on the cheek. In others, people bow to show respect. It is important to learn about different customs when visiting a foreign country. It shows that you care about their culture.",40,35,0.875,4.825,4,global,speaking,0.0,2025-05-05 10:50:28,English,3.0,GPT-3.5-turbo
A1_090,A1,cross-cultural communication,Cross-cultural communication is when people from different cultures talk to each other. It is important to show respect and understanding. Use simple words and avoid slang. Listen carefully and ask questions if you don't understand. Smile and be friendly to build good relationships. Practice patience and be open-minded.,48,40,0.8333333333333334,5.708333333333333,6,global,writing,0.0,2025-05-05 10:50:30,English,3.0,GPT-3.5-turbo
A1_091,A1,introducing yourself,"Hello, my name is Sarah. I am 25 years old. I live in New York. I work as a teacher. I like to read books and watch movies. Nice to meet you!",32,28,0.875,3.4375,6,basic,reading,0.0,2025-05-05 10:50:32,English,3.0,GPT-3.5-turbo
A1_092,A1,asking directions,"When you are lost, you can ask someone for directions. You can say, ""Excuse me, where is the park?"" The person will tell you, ""Go straight, then turn left."" Thank them and follow their directions. You will find the park soon.",41,33,0.8048780487804879,4.512195121951219,5,basic,listening,0.0,2025-05-05 10:50:33,English,3.0,GPT-3.5-turbo
A1_093,A1,making appointments,"To make an appointment, call the doctor's office. Tell them your name and when you want to come. They will give you a time to visit. Write it down so you remember. On the day, go to the office at the right time. The doctor will see you then.",49,38,0.7755102040816326,3.938775510204082,6,basic,speaking,0.0,2025-05-05 10:50:36,English,3.0,GPT-3.5-turbo
